,Tweet index,Label,Tweet text
0,1,0,<USER> Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to <URL>
1,2,1,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony"
2,3,0,#NOT GONNA WIN <URL>
3,4,0,<USER> He is exactly that sort of person. Weirdo!
4,5,1,So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm
5,6,0,Corny jokes are my absolute favorite
6,7,1,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life"
7,8,0,"<USER> <USER> Darn, my sock joke needs fixing?"
8,9,0,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong ::angry_face_with_horns::"
9,10,1,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself"
10,11,0,Most important thing I've learned in school <URL>
11,12,0,#OrionLaunch underway - yeah! #Orion <URL>
12,13,1,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut
13,14,0,Oh boy... <USER> in the house. Warm up the DJ booth <USER>
14,15,0,"LIAR, i've never denied the 532 murders in Chicago in 2012 <USER> <USER> <USER> <USER> <USER>"
15,16,0,"Always classy, never trashy and just a little sassy."
16,17,0,"you believe you can say something, provide no proof and its a fact, WRONG <USER> <USER>"
17,18,0,<USER> #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil
18,19,0,<USER> Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer
19,20,1,<USER> Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm
20,21,1,Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly
21,22,1,The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.
22,23,1,Pretty excited about how you gave up on me. File Under: #sarcasm
23,24,1,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?
24,25,0,<USER> u know that. How u doing??
